Input1	Input2	Expected	Correct
0,064550955	0,043035003	0	0
0,005484648	0,304928445	0	0
0,387139766	0,030658662	0	0
0,115782004	0,325403872	0	0
0,990051152	0,110757572	0	0
0,906041333	0,965591407	1	1
0,959946634	0,441791747	0	0
0,679044967	0,145488771	0	0
0,328432769	0,213993176	0	0
0,376710964	0,495644396	0	0
0,820537645	0,764211736	1	1
0,519490264	0,382975265	0	0
0,83570136	0,651009396	0	0
0,468767856	0,004636209	0	0
0,966610242	0,616592323	1	1
0,439876916	0,709975163	0	0
0,594271929	0,150696417	0	0
0,418944387	0,545329349	0	0
0,597724537	0,857664898	0	0
0,084087605	0,172707073	0	0
0,079821909	0,165355788	0	0
0,447102982	0,747686871	0	0
0,525185299	0,526019327	0	0
0,869678462	0,335293771	0	0
0,699630065	0,019628005	0	0
0,989172967	0,964148794	1	1
0,402819371	0,226941109	0	0
0,719155487	0,380865864	0	0
0,771974105	0,951082892	1	1
0,151660328	0,273914036	0	0
0,789410632	0,510476147	0	0
0,286808054	0,070081669	0	0
0,778515829	0,327677217	0	0
0,791423696	0,173715915	0	0
0,77055358	0,130482565	0	0
0,338921264	0,296704407	0	0
0,290344487	0,450936367	0	0
0,265148817	0,282477551	0	0
0,613832253	0,988150956	1	1
0,421589566	0,258368661	0	0
0,581743611	0,588359713	0	0
0,010982379	0,582917234	0	0
0,247870962	0,180869224	0	0
0,6648018	0,976319482	1	1
0,851170389	0,272381375	0	0
0,381413998	0,942699719	0	0
0,04250471	0,038464723	0	1
0,276996688	0,166633373	0	0
0,326207877	0,242701513	0	0
0,897657066	0,696310959	1	1
0,550530091	0,216787384	0	0
0,578437335	0,786880763	0	0
0,081701371	0,079306437	0	1
0,764398062	0,775220799	1	1
0,239152378	0,791227132	0	0
0,77164415	0,134870569	0	0
0,708914913	0,459117145	0	0
0,318714525	0,915454259	0	0
0,404967025	0,067493731	0	1
0,301077212	0,176039276	0	1
0,757732986	0,501749392	0	0
0,372512247	0,511952798	0	0
0,15382951	0,188480384	0	1
0,496493255	0,55754679	0	0
0,908057335	0,276163649	0	0
0,526843849	0,768179967	0	0
0,362037873	0,55282677	0	0
0,805258086	0,720306759	1	1
0,318573932	0,63633862	0	0
0,516506802	0,559070227	0	0
0,634249653	0,540605613	0	0
0,075950813	0,790619487	0	0
0,058890027	0,833197803	0	0
0,102660984	0,268137073	0	1
0,12440962	0,631468848	0	0
0,583287031	0,93625258	1	1
0,116583948	0,935720865	0	0
0,449266157	0,924995214	0	0
0,261221449	0,422120886	0	1
0,995696641	0,817333303	1	1
0,850699087	0,567683762	0	0
0,373190308	0,172929679	0	1
0,876465078	0,996475128	1	1
0,316209853	0,520953418	0	0
0,84350206	0,545144483	0	0
0,518632254	0,001756929	0	1
0,613790718	0,207665217	0	0
0,447552522	0,584200792	0	0
0,358435671	0,68708582	0	0
0,636454592	0,630766502	0	0
0,516380997	0,213039025	0	1
0,52236152	0,038369141	0	1
0,704001228	0,887489777	1	1
0,943400873	0,838681734	1	1
0,334183084	0,658921024	0	0
0,334822729	0,109632589	0	1
